,0,1,2,3
0,1,M. Salah | 25 | WAM,32,
0,2,H. Kane | 24 | FW,30,
1,3,S. Agüero | 29 | FW,21,
2,4,J. Vardy | 30 | FW,20,
3,5,R. Sterling | 23 | WAM,18,
4,6,R. Lukaku | 24 | FW,16,
5,7,R. Firmino | 26 | FW,15,
6,8,A. Lacazette | 26 | FW,14,
7,9,G. Jesus | 20 | FW,13,
8,10,G. Murray | 34 | FW,12,
9,11,E. Hazard | 26 | CAM,12,
10,12,S. Heung-Min | 25 | FW,12,
11,13,R. Mahrez | 26 | WAM,12,
12,14,M. Arnautovic | 28 | FW,11,
13,15,Á. Morata | 25 | FW,11,
14,16,W. Rooney | 32 | CAM,10,
15,17,P. Aubameyang | 28 | FW,10,
16,18,C. Wood | 26 | FW,10,
17,19,L. Milivojevic | 26 | CM,10,
18,20,C. Eriksen | 25 | WAM,10,
19,21,S. Mané | 25 | FW,10,
20,22,L. Sané | 21 | WAM,10,
21,23,D. Silva | 31 | CM,9,
22,24,A. Barnes | 28 | FW,9,
23,25,W. Zaha | 25 | FW,9,
24,26,D. Alli | 21 | CAM,9,
25,27,A. Martial | 22 | FW,9,
26,28,Chicharito | 29 | FW,8,
27,29,K. De Bruyne | 26 | CM,8,
28,30,X. Shaqiri | 26 | WAM,8,
29,31,C. Wilson | 25 | FW,8,
30,32,J. King | 25 | FW,8,
31,33,J. Lingard | 25 | CAM,8,
32,34,O. Niasse | 27 | FW,8,
33,35,A. Pérez | 24 | CAM,8,
34,36,A. Sánchez | 29 | CAM,7,
35,37,A. Ramsey | 27 | CM,7,
36,38,J. Rodríguez | 28 | FW,7,
37,39,S. Rondón | 28 | FW,7,
38,40,P. Groß | 26 | CAM,7,
39,41,C. Austin | 28 | FW,7,
40,42,J. Ayew | 26 | FW,7,
41,43,M. Alonso | 27 | FB,7,
42,44,P. Coutinho | 25 | WAM,7,
43,45,A. Doucouré | 24 | CM,7,
44,46,S. Mounié | 23 | FW,7,
45,47,M. Rashford | 20 | FW,7,
46,48,Willian | 29 | FW,6,
47,49,M. Diouf | 30 | FW,6,
48,50,D. Tadic | 29 | CAM,6,
49,51,P. Pogba | 24 | CM,6,
50,52,S. Okazaki | 31 | CAM,6,
51,53,D. Gayle | 28 | FW,6,
52,54,L. Depoitre | 29 | FW,6,
53,55,B. Silva | 23 | CAM,6,
54,56,P. Crouch | 36 | FW,5,
55,57,Fernandinho | 32 | CM,5,
56,58,N. Monreal | 31 | CB,5,
57,59,T. Deeney | 29 | FW,5,
58,60,E. Choupo-Moting | 28 | WAM,5,
59,61,D. Welbeck | 27 | WAM,5,
60,62,J. McArthur | 30 | CM,5,
61,63,J. Stanislas | 28 | FW,5,
62,64,M. Gabbiadini | 26 | FW,5,
63,65,R. Pereyra | 26 | CM,5,
64,66,C. Tosun | 26 | FW,5,
65,67,A. Gray | 26 | FW,5,
66,68,P. van Aanholt | 27 | FB,5,
67,69,M. Lanzini | 24 | CAM,5,
68,70,R. Fraser | 23 | FW,5,
69,71,J. Izquierdo | 25 | WAM,5,
70,72,T. Abraham | 20 | FW,5,
71,73,Richarlison | 20 | WAM,5,
72,74,J. Defoe | 35 | FW,4,
73,75,M. Noble | 30 | CM,4,
74,76,M. Özil | 29 | CAM,4,
75,77,S. Vokes | 28 | FW,4,
76,78,M. Fellaini | 30 | CM,4,
77,79,O. Giroud | 31 | FW,4,
78,80,Pedro | 30 | FW,4,
79,81,G. Sigurdsson | 28 | CAM,4,
80,82,C. Smalling | 28 | CB,4,
81,83,N. Otamendi | 29 | CB,4,
82,84,I. Gündogan | 27 | CM,4,
83,85,Joselu | 27 | FW,4,
84,86,A. Mooy | 27 | CM,4,
85,87,D. Calvert-Lewin | 20 | FW,4,
86,88,S. Davis | 32 | CM,3,
87,89,T. Walcott | 28 | FW,3,
88,90,A. Valencia | 32 | FB,3,
89,91,A. Carroll | 28 | FW,3,
90,92,J. Mata | 29 | WAM,3,
91,93,B. Sako | 29 | FW,3,
92,94,O. Giroud | 31 | FW,3,
93,95,A. Ayew | 28 | WAM,3,
94,96,V. Moses | 27 | FB,3,
95,97,J. Tomkins | 28 | CB,3,
96,98,R. van La Parra | 26 | WAM,3,
97,99,D. Janmaat | 28 | FB,3,
98,100,Iborra | 29 | CM,3,
99,101,C. Benteke | 27 | FW,3,
100,102,M. Ritchie | 28 | WAM,3,
101,103,M. Antonio | 27 | FW,3,
102,104,S. Mustafi | 25 | CB,3,
103,105,S. Clucas | 27 | CM,3,
104,106,A. Oxlade-Chamberlain | 24 | CM,3,
105,107,A. Knockaert | 26 | WAM,3,
106,108,Danilo | 26 | FB,3,
107,109,J. Lascelles | 24 | CB,3,
108,110,J. Ward-Prowse | 23 | CM,3,
109,111,E. Can | 23 | CM,3,
110,112,A. Iwobi | 21 | CAM,3,
111,113,D. Gray | 21 | FW,3,
112,114,K. Iheanacho | 21 | FW,3,
113,115,L. Baines | 33 | FB,2,
114,116,A. King | 29 | CM,2,
115,117,A. Surman | 31 | CM,2,
116,118,C. Fàbregas | 30 | CM,2,
117,119,A. Young | 32 | FB,2,
118,120,S. Long | 30 | FW,2,
119,121,M. Diamé | 30 | CM,2,
120,122,A. Sánchez | 29 | WAM,2,
121,123,J. Evans | 29 | CB,2,
122,124,D. Lovren | 28 | CB,2,
123,125,T. Hemed | 30 | FW,2,
124,126,S. Arfield | 29 | WAM,2,
125,127,J. Cork | 28 | CM,2,
126,128,D. Gosling | 27 | CM,2,
127,129,J. Allen | 27 | CM,2,
128,130,D. Sturridge | 28 | FW,2,
129,131,C. Azpilicueta | 28 | CB,2,
130,132,H. Robson-Kanu | 28 | FW,2,
131,133,J. Livermore | 28 | CM,2,
132,134,M. Phillips | 26 | WAM,2,
133,135,L. Koscielny | 32 | CB,2,
134,136,M. Albrighton | 28 | WAM,2,
135,137,C. Kouyaté | 28 | CM,2,
136,138,S. Cook | 26 | CB,2,
137,139,W. Bony | 29 | FW,2,
138,140,H. Mkhitaryan | 28 | CAM,2,
139,141,C. Clark | 28 | CB,2,
140,142,P. Obiang | 25 | CM,2,
141,143,C. Dawson | 27 | CB,2,
142,144,A. Townsend | 26 | FW,2,
143,145,J. Gudmundsson | 27 | WAM,2,
144,146,E. Lamela | 25 | WAM,2,
145,147,D. Sakho | 28 | FW,2,
146,148,K. Sung-Yueng | 28 | CM,2,
147,149,A. Hegazy | 26 | CB,2,
148,150,S. Aurier | 25 | FB,2,
149,151,M. Yoshida | 29 | CB,2,
150,152,I. Gueye | 28 | DMC,2,
151,153,J. Hendrick | 25 | CAM,2,
152,154,C. Kabasele | 26 | CB,2,
153,155,T. Ince | 25 | WAM,2,
154,156,J. Stephens | 23 | CB,2,
155,157,M. Batshuayi | 24 | FW,2,
156,158,H. Maguire | 24 | CB,2,
157,159,H. Bellerín | 22 | FB,2,
158,160,A. Rüdiger | 24 | CB,2,
159,161,J. Ibe | 22 | WAM,2,
160,162,C. Atsu | 25 | WAM,2,
161,163,W. Hughes | 22 | CM,2,
162,164,J. Mário | 24 | CAM,2,
163,165,S. Kolasinac | 24 | FB,2,
164,166,B. Davies | 24 | FB,2,
165,167,N. Aké | 22 | CB,2,
166,168,R. Loftus-Cheek | 21 | WAM,2,
167,169,S. Boufal | 24 | WAM,2,
168,170,A. Mawson | 23 | CB,2,
169,171,B. Ndiaye | 27 | CM,2,
170,172,Kenedy | 21 | WAM,2,
171,173,T. Bakayoko | 23 | CM,2,
172,174,T. Davies | 19 | CM,2,
173,175,L. Mousset | 21 | CAM,2,
174,176,R. Sobhi | 20 | WAM,2,
175,177,G. Barry | 36 | CM,1,
176,178,J. Collins | 34 | CB,1,
177,179,A. King | 29 | CM,1,
178,180,D. Fletcher | 33 | CM,1,
179,181,P. Mertesacker | 33 | CB,1,
180,182,V. Kompany | 31 | CB,1,
181,183,J. Morrison | 31 | CAM,1,
182,184,A. Williams | 33 | CB,1,
183,185,S. Dann | 30 | CB,1,
184,186,F. Llorente | 32 | FW,1,
185,187,S. Okaka | 28 | FW,1,
186,188,R. Klavan | 32 | CB,1,
187,189,R. Shawcross | 30 | CB,1,
188,190,É. Capoue | 29 | DMC,1,
189,191,S. Defour | 29 | CM,1,
190,192,S. Ward | 32 | FB,1,
191,193,A. Ogbonna | 29 | CB,1,
192,194,M. Sakho | 27 | CB,1,
193,195,D. Luiz | 30 | CB,1,
194,196,C. Daniels | 31 | FB,1,
195,197,K. Long | 27 | CB,1,
196,198,G. Wijnaldum | 27 | CAM,1,
197,199,F. Delph | 28 | FB,1,
198,200,T. Cleverley | 28 | CM,1,
199,201,H. Saivet | 27 | CM,1,
200,202,M. Sissoko | 28 | CAM,1,
201,203,H. Arter | 28 | CM,1,
202,204,L. Fer | 27 | CM,1,
203,205,J. Shelvey | 25 | CM,1,
204,206,M. Britos | 32 | CB,1,
205,207,J. Wilshere | 25 | CM,1,
206,208,L. Ulloa | 31 | FW,1,
207,209,A. Smith | 26 | FB,1,
208,210,K. Femenía | 26 | FB,1,
209,211,V. Wanyama | 26 | CM,1,
210,212,N. Chadli | 28 | WAM,1,
211,213,Y. Bolasie | 28 | WAM,1,
212,214,A. Cresswell | 28 | FB,1,
213,215,J. Henderson | 27 | CM,1,
214,216,F. Fernández | 28 | CB,1,
215,217,H. Mkhitaryan | 28 | CAM,1,
216,218,L. Narsingh | 27 | WAM,1,
217,219,J. Matip | 26 | CB,1,
218,220,D. Drinkwater | 27 | CM,1,
219,221,N. Matic | 29 | CM,1,
220,222,J. McClean | 28 | WAM,1,
221,223,O. Romeu | 26 | CM,1,
222,224,N. Redmond | 23 | WAM,1,
223,225,L. Dunk | 26 | CB,1,
224,226,G. Xhaka | 25 | CM,1,
225,227,D. Ings | 25 | WAM,1,
226,228,E. Kachunga | 25 | WAM,1,
227,229,R. Brady | 25 | WAM,1,
228,230,Jesé | 24 | FW,1,
229,231,G. Deulofeu | 23 | FW,1,
230,232,M. van der Hoorn | 25 | CB,1,
231,233,A. Carrillo | 26 | WAM,1,
232,234,M. Wagué | 26 | CB,1,
233,235,K. Zouma | 23 | CB,1,
234,236,D. Zappacosta | 25 | FB,1,
235,237,A. Pritchard | 24 | CAM,1,
236,238,J. Locadia | 24 | FW,1,
237,239,S. March | 23 | CAM,1,
238,240,J. Murphy | 22 | FW,1,
239,241,N. Kanté | 26 | CM,1,
240,242,A. Robertson | 23 | FB,1,
241,243,A. Mitrovic | 23 | FW,1,
242,244,I. Slimani | 29 | FW,1,
243,245,M. Lemina | 24 | CM,1,
244,246,I. Hayden | 22 | CM,1,
245,247,D. Solanke | 20 | FW,1,
246,248,J. Lolley | 25 | WAM,1,
247,249,T. Alexander-Arnold | 19 | FB,1,
248,250,J. Bednarek | 21 | CB,1,
249,251,M. Merino | 21 | CM,1,
250,252,S. Field | 19 | CM,1,
251,253,E. Bailly | 23 | CB,1,
252,254,R. Green | 37 | GK,-,
253,255,M. Carrick | 36 | CM,-,
254,256,J. Murphy | 28 | WAM,-,
255,257,S. Taylor | 37 | GK,-,
256,258,D. Whitehead | 35 | CM,-,
257,259,L. Grant | 34 | GK,-,
258,260,P. Jagielka | 35 | CB,-,
259,261,D. Delaney | 36 | CB,-,
260,262,G. Johnson | 33 | FB,-,
261,263,B. Foster | 34 | GK,-,
262,264,Z. Ibrahimovic | 36 | FW,-,
263,265,M. Stekelenburg | 35 | GK,-,
264,266,P. Cech | 35 | GK,-,
265,267,Bruno | 37 | FB,-,
266,268,J. Speroni | 38 | GK,-,
267,269,S. Sidwell | 35 | CM,-,
268,270,W. Routledge | 32 | FW,-,
269,271,E. Jakupovic | 33 | GK,-,
270,272,B. Myhill | 35 | GK,-,
271,273,J. Walters | 34 | CAM,-,
272,274,P. Evra | 36 | FB,-,
273,275,Y. Touré | 34 | CM,-,
274,276,W. Morgan | 33 | CB,-,
275,277,L. Britton | 35 | CM,-,
276,278,L. Rosenior | 33 | FB,-,
277,279,S. Francis | 32 | CB,-,
278,280,J. Milner | 31 | CM,-,
279,281,J. Hart | 30 | GK,-,
280,282,D. Marney | 33 | CM,-,
281,283,B. Watson | 32 | CM,-,
282,284,A. Lennon | 30 | WAM,-,
283,285,A. Lennon | 30 | FW,-,
284,286,K. Schmeichel | 31 | GK,-,
285,287,J. Tarkowski | 25 | CB,-,
286,288,P. Bardsley | 32 | FB,-,
287,289,M. Cranie | 31 | CB,-,
288,290,H. Gomes | 36 | GK,-,
289,291,A. Boruc | 37 | GK,-,
290,292,U. Hünemeier | 31 | CB,-,
291,293,C. Brunt | 33 | CM,-,
292,294,J. Puncheon | 31 | CM,-,
293,295,G. McAuley | 38 | CB,-,
294,296,G. Cahill | 32 | CB,-,
295,297,I. Afellay | 31 | CM,-,
296,298,R. Elliot | 31 | GK,-,
297,299,M. Pugh | 30 | WAM,-,
298,300,W. Hennessey | 30 | GK,-,
299,301,A. Mariappa | 31 | CB,-,
300,302,C. Adam | 32 | CM,-,
301,303,W. Caballero | 36 | GK,-,
302,304,T. Walcott | 28 | WAM,-,
303,305,T. Krul | 29 | GK,-,
304,306,S. Ireland | 31 | CAM,-,
305,307,P. Zabaleta | 32 | FB,-,
306,308,N. Dyer | 30 | WAM,-,
307,309,T. Heaton | 31 | GK,-,
308,310,K. Mirallas | 30 | WAM,-,
309,311,Y. Cabaye | 31 | CM,-,
310,312,J. Gámez | 32 | FB,-,
311,313,S. Baldock | 28 | CAM,-,
312,314,A. Legzdins | 31 | GK,-,
