,0,1,2,3
0,1,J. Vardy | 32 | FW,23,
0,2,P. Aubameyang | 30 | FW,22,
1,3,D. Ings | 27 | FW,22,
2,4,R. Sterling | 25 | FW,20,
3,5,M. Salah | 27 | FW,19,
4,6,H. Kane | 26 | FW,18,
5,7,S. Mané | 27 | FW,18,
6,8,R. Jiménez | 28 | FW,17,
7,9,A. Martial | 24 | FW,17,
8,10,M. Rashford | 22 | FW,17,
9,11,S. Agüero | 31 | FW,16,
10,12,T. Abraham | 22 | FW,15,
11,13,C. Wood | 28 | FW,14,
12,14,G. Jesus | 22 | FW,14,
13,15,K. De Bruyne | 28 | CAM,13,
14,16,D. Calvert-Lewin | 22 | FW,13,
15,17,Richarlison | 22 | FW,13,
16,18,T. Pukki | 29 | FW,11,
17,19,S. Heung-Min | 27 | FW,11,
18,20,R. Mahrez | 28 | FW,11,
19,21,T. Deeney | 31 | FW,10,
20,22,M. Antonio | 29 | FW,10,
21,23,A. Lacazette | 28 | FW,10,
22,24,N. Maupay | 23 | FW,10,
23,25,M. Greenwood | 18 | FW,10,
24,26,Willian | 31 | FW,9,
25,27,J. Ayew | 28 | FW,9,
26,28,R. Firmino | 28 | FW,9,
27,29,C. Pulisic | 21 | WAM,9,
28,30,O. Giroud | 33 | FW,8,
29,31,J. Rodríguez | 30 | FW,8,
30,32,C. Wilson | 27 | FW,8,
31,33,D. Alli | 23 | CAM,8,
32,34,J. Grealish | 24 | CAM,8,
33,35,B. Fernandes | 25 | CAM,8,
34,36,A. Pérez | 26 | WAM,8,
35,37,S. Haller | 25 | FW,7,
36,38,H. Wilson | 22 | WAM,7,
37,39,M. Mount | 20 | CAM,7,
38,40,D. Jota | 23 | WAM,7,
39,41,D. Silva | 33 | CAM,6,
40,42,A. Barnes | 30 | FW,6,
41,43,J. Shelvey | 27 | CM,6,
42,44,J. King | 27 | FW,6,
43,45,Trézéguet | 25 | WAM,6,
44,46,B. Silva | 25 | CAM,6,
45,47,O. McBurnie | 23 | FW,6,
46,48,J. Maddison | 23 | CAM,6,
47,49,L. Mousset | 23 | FW,6,
