,0,1,2,3
128,130,D. Ings | 30 | FW,2,
129,131,Jorginho | 31 | CM,2,
130,132,K. Koulibaly | 31 | CB,2,
131,133,S. Armstrong | 30 | WAM,2,
132,134,E. Dier | 28 | CB,2,
133,135,J. Stones | 28 | CB,2,
134,136,Fred | 29 | CM,2,
135,137,K. Zouma | 28 | CB,2,
136,138,B. Traoré | 27 | WAM,2,
137,139,B. Davies | 29 | CB,2,
138,140,J. Cancelo | 28 | FB,2,
139,141,A. Iwobi | 26 | WAM,2,
140,142,H. Wilson | 25 | WAM,2,
141,143,A. Armstrong | 25 | WAM,2,
142,144,A. Traoré | 26 | WAM,2,
143,145,Y. Mina | 28 | CB,2,
144,146,T. Castagne | 27 | FB,2,
145,147,T. Alexander-Arnold | 24 | FB,2,
146,148,B. Chilwell | 26 | FB,2,
147,149,D. Calvert-Lewin | 25 | FW,2,
148,150,R. Sessegnon | 22 | FB,2,
149,151,J. Aribo | 26 | WAM,2,
150,152,B. White | 25 | FB,2,
151,153,D. James | 25 | WAM,2,
152,154,N. Aguerd | 26 | CB,2,
153,155,K. Dewsbury-Hall | 24 | CM,2,
154,156,T. Soucek | 27 | CM,2,
155,157,Rodri | 26 | CM,2,
156,158,M. Senesi | 25 | CB,2,
157,159,P. Struijk | 23 | FB,2,
158,160,E. Dennis | 25 | FW,2,
159,161,J. Mateta | 25 | FW,2,
160,162,E. Royal | 23 | FB,2,
161,163,R. Perraud | 25 | FB,2,
162,164,M. Viña | 25 | FB,2,
163,165,F. Carvalho | 20 | WAM,2,
164,166,M. Cunha | 23 | FW,2,
165,167,M. Olise | 21 | WAM,2,
166,168,D. Kulusevski | 22 | CAM,2,
167,169,W. Saliba | 21 | CB,2,
168,170,W. Gnonto | 19 | WAM,2,
169,171,K. Sulemana | 20 | WAM,2,
170,172,C. Ronaldo | 37 | FW,1,
171,173,J. Tarkowski | 30 | CB,1,
172,174,D. Costa | 34 | FW,1,
173,175,A. Young | 37 | FB,1,
174,176,I. Perisic | 33 | FB,1,
175,177,J. Tomkins | 33 | CB,1,
176,178,M. Albrighton | 33 | WAM,1,
177,179,P. Aubameyang | 33 | FW,1,
178,180,C. Kouyaté | 33 | CM,1,
179,181,J. Ward | 33 | FB,1,
180,182,L. Cooper | 31 | CB,1,
181,183,S. Coleman | 34 | FB,1,
182,184,C. Dawson | 32 | CB,1,
183,185,C. Wood | 31 | FW,1,
184,186,J. Matip | 31 | CB,1,
185,187,P. Jansson | 31 | CB,1,
186,188,K. Trippier | 32 | FB,1,
187,189,D. Burn | 30 | FB,1,
188,190,S. Aurier | 30 | FB,1,
189,191,C. Eriksen | 30 | CM,1,
190,192,A. Oxlade-Chamberlain | 29 | WAM,1,
191,193,T. Ream | 35 | CB,1,
192,194,L. Dunk | 31 | CB,1,
193,195,P. Coutinho | 30 | WAM,1,
194,196,N. Mendy | 30 | CM,1,
195,197,M. Lanzini | 29 | CAM,1,
196,198,M. Doherty | 30 | FB,1,
197,199,P. Sarabia | 30 | WAM,1,
198,200,M. Kovacic | 28 | CM,1,
199,201,C. Coady | 29 | CB,1,
200,202,L. Moura | 30 | CAM,1,
201,203,M. Elyounoussi | 28 | WAM,1,
202,204,L. Digne | 29 | FB,1,
203,205,M. Keane | 29 | CB,1,
204,206,L. Shaw | 27 | FB,1,
205,207,D. Praet | 28 | WAM,1,
206,208,W. Hughes | 27 | CM,1,
207,209,Emerson | 28 | FB,1,
208,210,T. Adarabioyo | 25 | CB,1,
209,211,J. Veltman | 30 | FB,1,
210,212,R. Pereira | 29 | FB,1,
211,213,J. Otto | 28 | FB,1,
212,214,N. Maupay | 26 | FW,1,
213,215,L. Trossard | 28 | WAM,1,
214,216,F. Schär | 31 | CB,1,
215,217,J. McGinn | 28 | CM,1,
216,218,N. Aké | 27 | FB,1,
217,219,C. Nørgaard | 28 | CM,1,
218,220,T. Mings | 29 | CB,1,
219,221,R. Holding | 27 | CB,1,
220,222,R. Christie | 27 | WAM,1,
221,223,K. Walker-Peters | 25 | FB,1,
222,224,K. Tete | 27 | FB,1,
223,225,A. Saint-Maximin | 25 | WAM,1,
224,226,D. Caleta-Car | 26 | CB,1,
225,227,J. Andersen | 26 | CB,1,
226,228,C. Pulisic | 24 | WAM,1,
227,229,O. Mangala | 24 | CM,1,
228,230,S. Longstaff | 25 | CM,1,
229,231,G. Guedes | 26 | WAM,1,
230,232,S. McTominay | 26 | CM,1,
231,233,P. Estupiñán | 24 | FB,1,
232,234,O. Zinchenko | 26 | FB,1,
233,235,J. Worrall | 25 | CB,1,
234,236,M. Guéhi | 22 | CB,1,
235,237,O. Skipp | 22 | CM,1,
236,238,Richarlison | 25 | CAM,1,
237,239,Lyanco | 25 | CB,1,
238,240,N. Williams | 21 | FB,1,
239,241,D. Dalot | 23 | FB,1,
240,242,S. Surridge | 24 | FW,1,
241,243,Ç. Söyüncü | 26 | CB,1,
242,244,W. Faes | 24 | CB,1,
243,245,E. Simms | 21 | FW,1,
244,246,I. Diop | 25 | CB,1,
245,247,A. Danjuma | 25 | WAM,1,
246,248,L. Martínez | 24 | CB,1,
247,249,Tetê | 22 | WAM,1,
248,250,R. James | 23 | FB,1,
249,251,A. Gordon | 21 | WAM,1,
250,252,M. Roca | 26 | CM,1,
251,253,B. Badiashile | 21 | CB,1,
252,254,L. O'Brien | 24 | CM,1,
253,255,N. Madueke | 20 | WAM,1,
254,256,S. Greenwood | 20 | CM,1,
255,257,B. Aaronson | 22 | CAM,1,
256,258,A. Semenyo | 22 | WAM,1,
257,259,F. Vieira | 22 | CM,1,
258,260,A. Broja | 21 | FW,1,
259,261,J. Kiwior | 22 | CB,1,
260,262,J. Firpo | 26 | FB,1,
261,263,W. Fofana | 22 | CB,1,
262,264,H. Elliott | 19 | CM,1,
263,265,J. Gomes | 21 | CM,1,
264,266,R. Aït-Nouri | 21 | FB,1,
265,267,A. Onana | 21 | CM,1,
266,268,M. Nunes | 24 | CM,1,
267,269,S. Mara | 20 | FW,1,
268,270,M. Caicedo | 21 | CM,1,
269,271,T. Gomes | 23 | FB,1,
270,272,R. Lavia | 18 | CM,1,
271,273,D. Ouattara | 20 | WAM,1,
272,274,S. Bajcetic | 18 | CM,1,
273,275,F. Buonanotte | 18 | WAM,1,
274,276,A. Lonergan | 39 | GK,-,
275,277,E. Jakupovic | 38 | GK,-,
276,278,J. Milner | 36 | CM,-,
277,279,S. Carson | 37 | GK,-,
278,280,J. Moutinho | 36 | CM,-,
279,281,W. Hennessey | 35 | GK,-,
280,282,W. Caballero | 41 | GK,-,
281,283,T. Heaton | 36 | GK,-,
282,284,K. Navas | 36 | GK,-,
283,285,D. Randolph | 35 | GK,-,
284,286,D. Randolph | 35 | GK,-,
285,287,L. Fabianski | 37 | GK,-,
286,288,J. Evans | 34 | CB,-,
287,289,H. Lloris | 36 | GK,-,
288,290,A. Begovic | 35 | GK,-,
289,291,F. Forster | 34 | GK,-,
290,292,A. Ogbonna | 34 | CB,-,
291,293,V. Guaita | 35 | GK,-,
292,294,C. Azpilicueta | 33 | FB,-,
293,295,A. Ayew | 33 | FW,-,
294,296,A. Smithies | 32 | GK,-,
295,297,Zanka | 32 | CB,-,
296,298,J. Steele | 32 | GK,-,
297,299,J. Shelvey | 30 | CM,-,
298,300,J. Shelvey | 30 | CM,-,
299,301,J. McArthur | 35 | CM,-,
300,302,T. Silva | 38 | CB,-,
301,303,D. de Gea | 32 | GK,-,
302,304,A. Smith | 31 | FB,-,
303,305,A. Cresswell | 33 | FB,-,
304,306,J. Stanislas | 33 | CAM,-,
305,307,S. Cook | 31 | CB,-,
306,308,J. Henderson | 32 | CM,-,
307,309,M. Ritchie | 33 | WAM,-,
308,310,S. Rondón | 33 | FW,-,
309,311,N. Clyne | 31 | FB,-,
310,312,L. Taylor | 32 | FW,-,
311,313,A. McCarthy | 33 | GK,-,
312,314,K. Walker | 32 | FB,-,
313,315,J. Colback | 33 | CM,-,
314,316,C. Soares | 31 | FB,-,
315,317,C. Soares | 31 | FB,-,
316,318,K. Darlow | 32 | GK,-,
317,319,C. Dawson | 32 | CB,-,
318,320,Adrián | 35 | GK,-,
