,0,1,2,3
0,1,S. Heung-Min | 29 |FW,23
0,2,M. Salah | 29 | FW,23,
1,3,C. Ronaldo | 36 | FW,18,
2,4,H. Kane | 28 | FW,17,
3,5,S. Mané | 29 | FW,16,
4,6,K. De Bruyne | 30 | CAM,15,
5,7,J. Vardy | 34 | FW,15,
6,8,D. Jota | 25 | FW,15,
7,9,W. Zaha | 29 | WAM,14,
8,10,R. Sterling | 27 | FW,13,
9,11,I. Toney | 25 | FW,12,
10,12,J. Maddison | 25 | CAM,12,
11,13,J. Bowen | 25 | WAM,12,
12,14,T. Pukki | 31 | FW,11,
13,15,R. Mahrez | 30 | FW,11,
14,16,O. Watkins | 26 | FW,11,
15,17,M. Mount | 22 | CAM,11,
16,18,Raphinha | 25 | WAM,11,
17,19,B. Saka | 20 | FW,11,
18,20,M. Antonio | 31 | FW,10,
19,21,J. Ward-Prowse | 27 | CM,10,
20,22,B. Fernandes | 27 | CAM,10,
21,23,E. Smith Rowe | 21 | WAM,10,
22,24,Richarlison | 24 | FW,10,
23,25,E. Dennis | 24 | WAM,10,
24,26,M. Cornet | 25 | FW,9,
25,27,P. Foden | 21 | CAM,9,
26,28,I. Gündogan | 31 | CM,8,
27,29,R. Lukaku | 28 | FW,8,
28,30,C. Wilson | 29 | FW,8,
29,31,N. Maupay | 25 | FW,8,
30,32,L. Trossard | 27 | FW,8,
31,33,B. Silva | 27 | CM,8,
32,34,S. Benrahma | 26 | FW,8,
33,35,G. Jesus | 24 | FW,8,
34,36,K. Havertz | 22 | CAM,8,
35,37,J. Harrison | 25 | FW,8,
36,38,C. Gallagher | 21 | CM,8,
37,39,D. Ings | 29 | FW,7,
38,40,M. Ødegaard | 23 | CAM,7,
39,41,C. Adams | 25 | FW,7,
40,42,Y. Wissa | 25 | FW,7,
41,43,Rodri | 25 | CM,7,
42,44,D. Welbeck | 31 | FW,6,
43,45,Rodrigo | 30 | FW,6,
44,46,Jorginho | 30 | CM,6,
45,47,R. Jiménez | 30 | FW,6,
46,48,Y. Tielemans | 24 | CM,6,
47,49,C. Pulisic | 23 | CAM,6,
48,50,O. Édouard | 23 | FW,6,
49,51,H. Barnes | 24 | CAM,6,
50,52,P. Fornals | 25 | CM,6,
51,53,A. Lookman | 24 | WAM,6,
52,54,J. Ramsey | 20 | CM,6,
53,55,A. Broja | 20 | FW,6,
54,56,G. Martinelli | 20 | FW,6,
55,57,J. King | 29 | FW,5,
56,58,P. Coutinho | 29 | CAM,5,
57,59,M. Lanzini | 28 | CAM,5,
58,60,R. Firmino | 30 | FW,5,
59,61,Fabinho | 28 | DMC,5,
60,62,A. Saint-Maximin | 24 | WAM,5,
61,63,D. Gray | 25 | WAM,5,
62,64,D. Calvert-Lewin | 24 | FW,5,
63,65,H. Hee-Chan | 25 | CAM,5,
64,66,E. Nketiah | 22 | FW,5,
65,67,B. Guimarães | 24 | DMC,5,
66,68,T. Soucek | 26 | DMC,5,
67,69,M. Greenwood | 20 | FW,5,
68,70,R. James | 22 | FB,5,
69,71,G. Magalhães | 24 | CB,5,
70,72,J. Mateta | 24 | FW,5,
71,73,I. Sarr | 23 | FW,5,
72,74,A. Mac Allister | 23 | CAM,5,
73,75,C. Hernández | 22 | WAM,5,
74,76,P. Daka | 23 | FW,5,
75,77,D. Kulusevski | 21 | FW,5,
76,78,P. Aubameyang | 32 | FW,4,
77,79,C. Benteke | 31 | FW,4,
78,80,A. Lacazette | 30 | FW,4,
79,81,M. Alonso | 31 | FB,4,
80,82,J. Schlupp | 29 | FW,4,
81,83,C. Coady | 28 | CB,4,
82,84,M. Elyounoussi | 27 | WAM,4,
83,85,Fred | 28 | CM,4,
84,86,H. Ziyech | 28 | CAM,4,
85,87,A. Laporte | 27 | CB,4,
86,88,T. Werner | 25 | FW,4,
87,89,R. Neves | 24 | CM,4,
88,90,J. Bednarek | 25 | CB,4,
89,91,K. Iheanacho | 25 | FW,4,
90,92,M. Rashford | 24 | FW,4,
91,93,Joelinton | 25 | FW,4,
92,94,E. Buendía | 25 | CAM,4,
93,95,M. Cash | 24 | FB,4,
94,96,D. James | 24 | FW,4,
95,97,V. Janelt | 23 | DMC,4,
96,98,A. Gordon | 20 | WAM,4,
97,99,L. Díaz | 24 | FW,4,
98,100,B. Mbeumo | 22 | FW,4,
99,101,T. Silva | 37 | CB,3,
100,102,B. Mee | 32 | CB,3,
101,103,A. Townsend | 30 | WAM,3,
102,104,C. Wood | 30 | FW,3,
103,105,J. Matip | 30 | CB,3,
104,106,P. Jansson | 30 | CB,3,
105,107,J. Ayew | 30 | WAM,3,
106,108,V. van Dijk | 30 | CB,3,
107,109,A. Rüdiger | 28 | CB,3,
108,110,M. Keane | 28 | CB,3,
109,111,J. Grealish | 26 | CAM,3,
110,112,A. Robertson | 27 | FB,3,
111,113,J. McGinn | 27 | CM,3,
112,114,C. Nørgaard | 27 | CM,3,
113,115,D. Llorente | 28 | CB,3,
114,116,D. Origi | 26 | FW,3,
115,117,T. Minamino | 26 | FW,3,
116,118,B. Chilwell | 25 | FB,3,
117,119,S. Canós | 24 | FW,3,
118,120,N. Keïta | 26 | CM,3,
119,121,T. Chalobah | 22 | CB,3,
120,122,R. Henry | 24 | FB,3,
121,123,S. Bergwijn | 24 | FW,3,
122,124,J. Sancho | 21 | FW,3,
123,125,J. Pedro | 20 | FW,3,
124,126,A. Lennon | 34 | WAM,2,
125,127,J. Moutinho | 35 | CM,2,
126,128,Fernandinho | 36 | DMC,2,
127,129,E. Cavani | 34 | FW,2,
