,Pos,Club,Pts,xPts,MP,W,D,L,G,GA,GD,xG,xGA,xGD,PPDA
0,1,Liverpool,99,75.34,38,32,3,3,85,33,52,74.95,37.26,37.69,10.28
1,2,Manchester City,81,86.02,38,26,3,9,102,35,67,103.15,36.65,66.5,10.08
2,3,Manchester United,66,70.43,38,18,12,8,66,36,30,65.35,37.34,28.02,11.14
3,4,Chelsea,66,72.47,38,20,6,12,69,54,15,74.23,42.27,31.96,10.63
4,5,Leicester City,62,62.06,38,18,8,12,67,41,26,64.59,48.04,16.55,9.63
5,6,Tottenham Hotspur,59,49.48,38,16,11,11,61,47,14,51.12,55.33,-4.2,12.21
6,7,Wolverhampton Wanderers,59,62.43,38,15,14,9,51,40,11,54.99,39.34,15.65,14.81
7,8,Arsenal,56,48.56,38,14,14,10,56,48,8,48.77,57.48,-8.71,12.36
8,9,Sheffield United,54,48.32,38,14,12,12,39,39,0,45.46,52.49,-7.03,15.7
9,10,Burnley,54,51.22,38,15,9,14,43,50,-7,50.33,52.15,-1.82,13.35
10,11,Southampton,52,54.7,38,15,7,16,51,60,-9,54.52,58.52,-3.99,9.99
11,12,Everton,49,56.59,38,13,10,15,44,56,-12,53.94,47.71,6.23,11.84
12,13,Newcastle United,44,32.88,38,11,11,16,38,58,-20,36.49,67.34,-30.85,19.46
13,14,Crystal Palace,43,39.16,38,11,10,17,31,50,-19,35.54,57.07,-21.53,14.59
14,15,Brighton and Hove Albion,41,46.83,38,9,14,15,39,54,-15,46.32,60.94,-14.62,11.53
15,16,West Ham United,39,40.29,38,10,9,19,49,62,-13,48.49,65.74,-17.25,14.7
16,17,Aston Villa,35,35.78,38,9,8,21,41,67,-26,43.95,72.91,-28.96,13.82
17,18,Bournemouth,34,39.28,38,9,7,22,40,65,-25,44.2,63.58,-19.38,14.52
18,19,Watford,34,48.44,38,8,10,20,36,64,-28,47.55,59.93,-12.37,13.69
19,20,Norwich City,21,33.45,38,5,6,27,26,75,-49,39.02,70.91,-31.89,13.81
