,0,1,2,3
128,130,O. Giroud | 32 | FW,2,
129,131,M. Albrighton | 29 | FW,2,
130,132,A. Yarmolenko | 29 | FW,2,
131,133,J. Stanislas | 29 | FW,2,
132,134,M. Ritchie | 29 | FW,2,
133,135,A. Herrera | 29 | CM,2,
134,136,S. Coleman | 30 | FB,2,
135,137,A. Westwood | 28 | CM,2,
136,138,Joselu | 28 | FW,2,
137,139,K. De Bruyne | 27 | CAM,2,
138,140,S. Mustafi | 26 | CB,2,
139,141,C. Austin | 29 | FW,2,
140,142,M. Alonso | 28 | FB,2,
141,143,L. Dunk | 27 | CB,2,
142,144,A. Knockaert | 27 | CAM,2,
143,145,Jorginho | 27 | CM,2,
144,146,C. Chambers | 23 | CM,2,
145,147,K. Zouma | 24 | CB,2,
146,148,A. Pritchard | 25 | CAM,2,
147,149,J. Locadia | 25 | WAM,2,
148,150,R. Saïss | 28 | DMC,2,
149,151,W. Hughes | 23 | CAM,2,
150,152,R. Pereira | 25 | FB,2,
151,153,L. Dendoncker | 23 | CM,2,
152,154,J. Lerma | 24 | CM,2,
153,155,P. Billing | 22 | CM,2,
154,156,S. Mounié | 24 | FW,2,
155,157,N. Keïta | 23 | CM,2,
156,158,R. Sessegnon | 18 | WAM,2,
157,159,S. McTominay | 22 | CM,2,
158,160,L. Torreira | 22 | CM,2,
159,161,W. Ndidi | 22 | CM,2,
160,162,D. Rice | 19 | CM,2,
161,163,Y. Valery | 19 | FB,2,
162,164,P. Jagielka | 36 | CB,1,
163,165,A. Lennon | 31 | FW,1,
164,166,V. Kompany | 32 | CB,1,
165,167,J. Moutinho | 32 | CM,1,
166,168,F. Llorente | 33 | FW,1,
167,169,Fernandinho | 33 | DMC,1,
168,170,A. Sánchez | 30 | FW,1,
169,171,J. Evans | 30 | CB,1,
170,172,N. Monreal | 32 | FB,1,
171,173,É. Capoue | 30 | DMC,1,
172,174,D. Lovren | 29 | CB,1,
173,175,B. Kayal | 30 | CM,1,
174,176,J. Vertonghen | 31 | CB,1,
175,177,S. Papastathopoulos | 30 | CB,1,
176,178,J. Cork | 29 | CM,1,
177,179,R. Bertrand | 29 | FB,1,
178,180,A. Ogbonna | 30 | CB,1,
179,181,D. Stephens | 29 | CM,1,
180,182,C. Daniels | 32 | FB,1,
181,183,C. Azpilicueta | 29 | FB,1,
182,184,R. Bennett | 28 | CB,1,
183,185,T. Cleverley | 29 | CM,1,
184,186,J. Tomkins | 29 | CB,1,
185,187,A. Gunnarsson | 29 | CM,1,
186,188,S. Morrison | 27 | CB,1,
