,0,1,2,3
0,1,H. Kane | 27 | FW,23
0,2,M. Salah | 28 | FW,22,
1,3,B. Fernandes | 26 | CAM,18,
2,4,S. Heung-Min | 28 | WAM,17,
3,5,P. Bamford | 27 | FW,17,
4,6,D. Calvert-Lewin | 23 | FW,16,
5,7,J. Vardy | 33 | FW,15,
6,8,O. Watkins | 25 | FW,14,
7,9,I. Gündogan | 30 | CM,13,
8,10,A. Lacazette | 29 | FW,13,
9,11,C. Wood | 29 | FW,12,
10,12,C. Wilson | 28 | FW,12,
11,13,D. Ings | 28 | FW,12,
12,14,K. Iheanacho | 24 | FW,12,
13,15,G. Bale | 31 | WAM,11,
14,16,W. Zaha | 28 | FW,11,
15,17,S. Mané | 28 | WAM,11,
16,18,M. Rashford | 23 | WAM,11,
17,19,M. Pereira | 24 | WAM,11,
18,20,E. Cavani | 33 | FW,10,
19,21,P. Aubameyang | 31 | FW,10,
20,22,C. Benteke | 30 | FW,10,
21,23,M. Antonio | 30 | FW,10,
22,24,R. Sterling | 26 | FW,10,
23,25,A. El Ghazi | 25 | WAM,10,
24,26,N. Pépé | 25 | WAM,10,
25,27,T. Soucek | 25 | CM,10,
26,28,R. Firmino | 29 | FW,9,
27,29,R. Mahrez | 29 | FW,9,
28,30,J. Lingard | 28 | CAM,9,
29,31,D. Jota | 24 | FW,9,
30,32,C. Adams | 24 | FW,9,
31,33,H. Barnes | 23 | CAM,9,
32,34,G. Jesus | 23 | FW,9,
33,35,P. Foden | 20 | CAM,9,
34,36,D. McGoldrick | 33 | FW,8,
35,37,S. Dallas | 29 | FW,8,
36,38,J. Ward-Prowse | 26 | CM,8,
37,39,N. Maupay | 24 | FW,8,
38,40,J. Maddison | 24 | CAM,8,
39,41,J. Bowen | 24 | FW,8,
40,42,J. Willock | 21 | CAM,8,
41,43,J. Harrison | 24 | WAM,8,
42,44,Rodrigo | 29 | FW,7,
43,45,Jorginho | 29 | CM,7,
44,46,B. Traoré | 25 | WAM,7,
45,47,Richarlison | 23 | FW,7,
46,48,M. Greenwood | 19 | WAM,7,
47,49,F. Torres | 20 | WAM,7,
48,50,D. Welbeck | 30 | FW,6,
49,51,G. Sigurdsson | 31 | CAM,6,
50,52,J. Rodríguez | 29 | WAM,6,
51,53,K. De Bruyne | 29 | CAM,6,
52,54,J. Grealish | 25 | WAM,6,
53,55,T. Werner | 24 | FW,6,
54,56,Y. Tielemans | 23 | CM,6,
55,57,T. Abraham | 23 | FW,6,
56,58,M. Mount | 21 | CAM,6,
57,59,Raphinha | 24 | FW,6,
58,60,L. Dunk | 29 | CB,5,
59,61,B. De Cordova-Reid | 27 | FW,5,
60,62,K. Zouma | 26 | CB,5,
61,63,L. Trossard | 26 | CAM,5,
62,64,R. Neves | 23 | CM,5,
63,65,C. Robinson | 25 | FW,5,
64,66,P. Fornals | 24 | WAM,5,
65,67,B. Saka | 19 | FW,5,
66,68,P. Neto | 20 | WAM,5,
67,69,S. Agüero | 32 | FW,4,
68,70,O. Giroud | 34 | FW,4,
69,71,M. Klich | 30 | CM,4,
70,72,S. Armstrong | 28 | WAM,4,
71,73,J. Stones | 26 | CB,4,
72,74,R. Jiménez | 29 | FW,4,
73,75,A. Martial | 25 | FW,4,
74,76,C. Pulisic | 22 | CAM,4,
75,77,M. Almirón | 26 | FW,4,
76,78,Joelinton | 24 | FW,4,
77,79,S. McTominay | 24 | CM,4,
78,80,A. Lookman | 23 | WAM,4,
79,81,K. Havertz | 21 | CAM,4,
80,82,E. Eze | 22 | WAM,4,
81,83,F. Silva | 18 | FW,4,
82,84,B. Sharp | 34 | FW,3,
83,85,T. Walcott | 31 | WAM,3,
84,86,A. Ogbonna | 32 | CB,3,
85,87,A. Barnes | 31 | FW,3,
86,88,K. Bartley | 29 | CB,3,
87,89,C. Dawson | 30 | CB,3,
88,90,P. Groß | 29 | CM,3,
89,91,A. Westwood | 30 | CM,3,
90,92,P. Pogba | 27 | CM,3,
91,93,M. Vydra | 28 | FW,3,
92,94,R. Barkley | 27 | CAM,3,
93,95,J. Vestergaard | 28 | CB,3,
94,96,L. Moura | 28 | FW,3,
95,97,S. Haller | 26 | FW,3,
96,98,M. Keane | 27 | CB,3,
97,99,R. Saïss | 30 | DMC,3,
98,100,J. McGinn | 26 | CM,3,
99,101,A. Mitrovic | 26 | FW,3,
100,102,M. Diagne | 29 | FW,3,
101,103,H. Costa | 26 | WAM,3,
102,104,I. Cavaleiro | 27 | FW,3,
103,105,A. Saint-Maximin | 23 | FW,3,
104,106,B. Chilwell | 24 | FB,3,
105,107,J. Maja | 22 | FW,3,
106,108,D. Podence | 25 | FW,3,
107,109,D. James | 23 | FW,3,
108,110,T. Ndombélé | 24 | CM,3,
109,111,J. Evans | 32 | CB,2,
110,112,G. Wijnaldum | 30 | CM,2,
111,113,H. Robson-Kanu | 31 | FW,2,
112,114,M. Phillips | 29 | FW,2,
113,115,T. Silva | 36 | CB,2,
114,116,B. Mee | 31 | CB,2,
115,117,J. Gudmundsson | 30 | FW,2,
116,118,S. Aurier | 28 | FB,2,
117,119,M. Alonso | 30 | FB,2,
118,120,N. Redmond | 26 | FW,2,
119,121,J. Hendrick | 28 | CM,2,
120,122,J. Schlupp | 28 | FW,2,
121,123,M. Batshuayi | 27 | FW,2,
122,124,H. Maguire | 27 | CB,2,
123,125,J. Lascelles | 27 | CB,2,
124,126,B. Mendy | 26 | FB,2,
125,127,E. Alioski | 28 | FB,2,
126,128,S. March | 26 | CAM,2,
127,129,J. Murphy | 25 | FW,2,
128,130,J. Cancelo | 26 | FB,2,
129,131,A. Doucouré | 27 | CM,2,
130,132,H. Ziyech | 27 | CAM,2,
131,133,P. Højbjerg | 25 | CM,2,
132,134,S. Ajayi | 27 | CB,2,
133,135,Trézéguet | 26 | FW,2,
134,136,T. Mings | 27 | CB,2,
135,137,T. Minamino | 25 | WAM,2,
136,138,O. Aina | 24 | FB,2,
137,139,A. Traoré | 24 | WAM,2,
138,140,Y. Mina | 26 | CB,2,
139,141,B. Silva | 26 | CAM,2,
140,142,T. Castagne | 25 | FB,2,
141,143,A. Pérez | 27 | FW,2,
142,144,T. Alexander-Arnold | 22 | FB,2,
143,145,J. Riedewald | 24 | CM,2,
