,Pos,Club,Pts,xPts,MP,W,D,L,G,GA,GD,xG,xGA,xGD,PPDA
0,1,Manchester City,86,81.2,38,27,5,6,83,32,51,75.15,31.87,43.29,11.51
1,2,Manchester United,74,65.45,38,21,11,6,73,44,29,65.14,43.81,21.32,11.91
2,3,Liverpool,69,68.95,38,20,9,9,68,42,26,74.24,48.42,25.82,10.45
3,4,Chelsea,67,76.71,38,19,10,9,58,36,22,67.45,30.86,36.59,10.47
4,5,Leicester City,66,58.68,38,20,6,12,68,50,18,58.06,48.66,9.4,11.24
5,6,West Ham United,65,56.65,38,19,8,11,62,47,15,57.69,51.49,6.2,17.1
6,7,Tottenham Hotspur,62,55.47,38,18,8,12,68,45,23,56.05,50.66,5.4,12.39
7,8,Arsenal,61,58.86,38,18,7,13,55,39,16,51.91,43.36,8.55,14.27
8,9,Leeds United,59,51.1,38,18,5,15,62,54,8,58.16,62.13,-3.97,9.38
9,10,Everton,59,46.95,38,17,8,13,47,48,-1,47.9,54.1,-6.21,14.81
10,11,Aston Villa,55,55.58,38,16,7,15,55,46,9,58.08,52.79,5.29,12.44
11,12,Newcastle United,45,45.23,38,12,9,17,46,62,-16,46.07,57.19,-11.12,18.32
12,13,Wolverhampton Wanderers,45,43.18,38,12,9,17,36,52,-16,40.26,53.3,-13.05,15.61
13,14,Crystal Palace,44,38.2,38,12,8,18,41,66,-25,36.67,63.67,-26.99,16.68
14,15,Southampton,43,44.47,38,12,7,19,47,68,-21,44.56,56.29,-11.73,11.25
15,16,Brighton and Hove Albion,41,63.21,38,9,14,15,40,46,-6,55.65,38.37,17.28,11.52
16,17,Burnley,39,39.03,38,10,9,19,33,55,-22,39.58,58.56,-18.98,14.59
17,18,Fulham,28,43.76,38,5,13,20,27,53,-26,40.65,56.16,-15.52,13.47
18,19,West Bromwich Albion,26,30.41,38,5,11,22,35,76,-41,36.1,73.41,-37.3,17.47
19,20,Sheffield United,23,29.28,38,7,2,29,20,63,-43,32.28,66.55,-34.27,14.98
