,Pos,Club,Pts,xPts,MP,W,D,L,G,GA,GD,xG,xGA,xGD,PPDA
0,1,Manchester City,93,91.85,38,29,6,3,99,26,73,94.35,25.12,69.22,10.16
1,2,Liverpool,92,85.58,38,28,8,2,94,26,68,94.08,34.39,59.69,9.95
2,3,Chelsea,74,73.56,38,21,11,6,76,33,43,70.28,34.36,35.93,10.08
3,4,Tottenham Hotspur,71,65.27,38,22,5,11,69,40,29,66.75,44.22,22.53,13.18
4,5,Arsenal,69,64.04,38,22,3,13,61,48,13,63.49,47.25,16.24,13.65
5,6,Manchester United,58,54.02,38,16,10,12,57,57,0,57.24,57.69,-0.45,14.19
6,7,West Ham United,56,53.02,38,16,8,14,60,51,9,54.3,53.95,0.34,15.39
7,8,Leicester City,52,41.9,38,14,10,14,62,59,3,48.51,66.2,-17.69,12.69
8,9,Brighton and Hove Albion,51,54.73,38,12,15,11,42,44,-2,50.43,47.54,2.89,10.78
9,10,Wolverhampton Wanderers,51,39.88,38,15,6,17,38,43,-5,39.88,59.3,-19.42,14.98
10,11,Newcastle United,49,42.46,38,13,10,15,44,62,-18,42.26,62.82,-20.56,15.3
11,12,Crystal Palace,48,59.17,38,11,15,12,50,46,4,50.21,40.07,10.14,12.49
12,13,Brentford,46,53.27,38,13,7,18,48,56,-8,49.44,49.95,-0.51,13.41
13,14,Aston Villa,45,46.29,38,13,6,19,52,54,-2,44.66,53.79,-9.13,13.81
14,15,Southampton,40,43.6,38,9,13,16,43,67,-24,49.32,64.86,-15.54,12.11
15,16,Everton,39,43.67,38,11,6,21,43,66,-23,44.6,61.45,-16.85,14.9
16,17,Leeds United,38,42.87,38,9,11,18,42,79,-37,50.25,73.36,-23.11,10.1
17,18,Burnley,35,38.17,38,7,14,17,34,53,-19,41.8,61.36,-19.56,14.29
18,19,Watford,23,36.41,38,6,5,27,34,77,-43,40.29,66.0,-25.71,15.89
19,20,Norwich City,22,26.75,38,5,7,26,23,84,-61,33.25,81.71,-48.45,16.25
